ts,serialNo,home,batteryVoltageMilliV,insideTemperatureCentiC,humidityMilliPerc
2019-04-12,VA4202760704,165132,2549.7615,2041.9015,509.04166
2019-04-13,VA4202760704,165132,2549.6910000000007,1998.8864,453.30453
2019-04-14,VA4202760704,165132,2549.8782,2048.4087,473.1828
2019-04-15,VA4202760704,165132,2549.3362,2047.8008,492.13693
2019-04-16,VA4202760704,165132,2547.6367,2074.6694,508.26123
2019-04-17,VA4202760704,165132,2546.5266,2097.9116,495.46017
2019-04-18,VA4202760704,165132,2546.1143,2070.808,498.19635
2019-04-19,VA4202760704,165132,2738.0398,2064.2185,494.0861
2019-04-20,VA4202760704,165132,3194.178,2031.2671,504.21234
2019-04-21,VA4202760704,165132,3146.0374,2008.7388,528.3955
2019-04-22,VA4202760704,165132,3118.3906,2066.0,482.42603
2019-04-23,VA4202760704,165132,3092.8076,2067.3206,550.1474599999998
2019-04-24,VA4202760704,165132,3076.0732,2076.52,535.8333
2019-04-25,VA4202760704,165132,3058.3333,2074.3572,541.5635
2019-04-26,VA4202760704,165132,3042.456,2068.2397,558.9766
2019-04-27,VA4202760704,165132,3030.3877,2050.1292,528.1088
2019-04-28,VA4202760704,165132,3024.0076,2021.4888,492.9737
2019-04-29,VA4202760704,165132,3007.4612,2045.2,507.38367
2019-04-30,VA4202760704,165132,2996.1948,2018.1144,531.4195
2018-10-01,VA2048854528,174376,2892.423,2090.359,630.07263
2018-10-02,VA2048854528,174376,2889.5461,2065.7566,664.4934
2018-10-03,VA2048854528,174376,2885.0188,2147.3062,680.4375
2018-10-04,VA2048854528,174376,2883.8855,2120.373,663.1542400000002
2018-10-05,VA2048854528,174376,2883.0,2131.5460000000007,682.68713
2018-10-06,VA2048854528,174376,2882.8044,2140.3533,693.5326
2018-10-07,VA2048854528,174376,2883.0,2125.9417,673.27356
2018-10-08,VA2048854528,174376,2883.0,2077.884,686.4033
2018-10-09,VA2048854528,174376,2879.952,2116.7112,693.6096
2018-10-10,VA2048854528,174376,2867.4673,2106.541,713.1229
2018-10-11,VA2048854528,174376,2864.1,2153.45,732.01
2018-10-12,VA2048854528,174376,2861.0735,2151.8257,723.9725
2018-10-13,VA2048854528,174376,2858.7065,2285.0,700.31525
2018-10-14,VA2048854528,174376,2861.2908,2227.0496,730.78015
2018-10-15,VA2048854528,174376,2868.9128,2091.279,735.8837
2018-10-16,VA2048854528,174376,2874.7083,2137.6597,743.3819599999998
2018-10-17,VA2048854528,174376,2879.0115,2130.5342,741.1648
2018-10-18,VA2048854528,174376,2880.5105,2112.2761,730.3281
2018-10-19,VA2048854528,174376,2877.1028,2063.9688,711.0
2018-10-20,VA2048854528,174376,2868.6807,2134.3745,687.4919
2018-10-21,VA2048854528,174376,2858.738,2147.4905,697.7762
2018-10-22,VA2048854528,174376,2838.2136,2084.2227,704.55
